date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:35	78631/78631	---M-Z	200	added ('OK')	text/html	etag:%22ce05b5-13327-597665d941f00-gzip%22	http://radixtouch.in/templates/admin/hotel/source/index.html	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/index.html	(from )
11:11:36	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:11:35%20GMT	http://radixtouch.in/robots.txt		(from )
11:11:36	13718/13718	---M--	200	added ('OK')	text/css	etag:%22d26138-3596-597665d941f00%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/simple-line-icons/simple-line-icons.min.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/simple-line-icons/simple-line-icons.min.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:37	31002/31002	---M--	200	added ('OK')	text/css	etag:%22d25f97-791a-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:39	155764/155764	---M--	200	added ('OK')	text/css	etag:%22d25ed0-26074-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap/css/bootstrap.min.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:40	15537/15537	---M--	200	added ('OK')	text/css	etag:%22d261a7-3cb1-597665d941f00%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/summernote/summernote.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/summernote/summernote.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:40	435/435	---M--	200	added ('OK')	text/css	etag:%22d260f5-1b3-597665d941f00%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/morris/morris.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/morris/morris.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:41	4512/4512	---M--	200	added ('OK')	text/css	etag:%22d25d31-11a0-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/css/material_style.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/css/material_style.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:44	58594/58594	---M--	200	added ('OK')	text/css	etag:%22d25d33-e4e2-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/css/pages/animate_page.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/css/pages/animate_page.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:44	180662/180662	---M--	200	added ('OK')	text/css	etag:%22d260b9-2c1b6-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/material/material.min.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/material/material.min.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:45	30425/30425	---M--	200	added ('OK')	text/css	etag:%22d25d3b-76d9-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/css/plugins.min.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/css/plugins.min.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:48	227967/227967	---M--	200	added ('OK')	text/css	etag:%22d25d3d-37a7f-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/css/style.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/css/style.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
11:11:49	38256/38256	---M--	200	added ('OK')	text/css	etag:%22d25d3c-9570-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/css/responsive.css	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/css/responsive.css	(from http://radixtouch.in/templates/admin/hotel/source/index.html)
